Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
1,3,19,19,108,128,2.06,1.554,2.694,2.694,2.366,2.694,2.818,3.318,-44,36.0,36.0,20,36,44,80
1,3,19,19,127,147,1.882,1.39,2.574,2.574,2.045,2.574,3.032,3.601,-44,44.0,44.0,16,44,60,80
1,3,24,1,104,130,1.796,1.402,2.465,2.465,2.063,2.549,2.797,3.189,-40,52.0,52.0,28,56,76,104
1,3,24,24,130,168,1.533,1.185,2.368,2.252,1.92,2.368,2.646,3.208,-52,96.0,88.0,36,96,108,152
1,3,28,1,131,163,1.709,1.383,2.418,2.418,2.039,2.82,2.868,3.78,-44,64.0,64.0,32,76,84,128
1,3,28,28,163,188,1.77,1.173,2.37,2.37,2.001,2.845,2.845,3.771,-60,36.0,36.0,16,60,60,100
1,3,28,28,187,207,1.621,1.087,2.739,2.606,1.839,2.34,2.373,3.205,-60,64.0,60.0,8,40,52,80
1,3,29,24,130,164,1.656,1.324,2.283,2.283,1.887,2.091,2.332,2.946,-48,84.0,84.0,36,80,96,136
1,3,33,1,161,195,1.472,1.23,2.604,2.626,1.844,2.92,3.36,4.151,-32,72.0,76.0,32,92,108,136
1,3,33,33,195,217,2.013,1.263,2.466,2.326,2.013,2.873,2.989,3.69,-64,28.0,20.0,0,52,56,88
1,3,33,33,216,238,1.753,1.444,2.487,2.487,2.326,2.326,2.502,3.482,-52,52.0,52.0,36,36,48,88
1,3,35,28,163,183,2.01,1.499,2.227,2.227,2.097,2.713,2.661,3.812,-52,28.0,28.0,12,48,52,80
1,3,39,1,191,220,1.65,1.233,2.907,2.775,1.924,2.474,2.907,3.784,-40,84.0,80.0,24,68,84,116
1,3,39,39,220,244,1.644,1.271,2.588,2.588,2.131,2.131,2.137,3.061,-32,72.0,72.0,36,36,48,96
1,3,40,33,194,216,2.052,1.352,2.498,2.498,2.106,2.728,2.882,4.185,-56,28.0,28.0,8,44,52,88
1,3,44,39,220,246,2.14,1.562,2.776,2.776,2.356,3.269,3.673,3.948,-36,64.0,64.0,32,72,80,104
1,3,45,1,213,242,1.566,1.342,2.895,2.996,2.055,2.278,2.473,3.383,-20,96.0,100.0,48,60,76,116
1,3,45,45,243,277,1.657,1.41,2.739,2.739,2.278,2.773,2.777,3.514,-24,92.0,92.0,52,96,100,136
1,3,47,45,242,274,1.735,1.485,2.644,2.697,1.889,2.811,2.942,3.96,-20,80.0,84.0,60,88,96,128
1,3,50,1,242,273,1.735,1.692,2.415,2.415,2.169,2.586,2.784,3.859,-8,72.0,72.0,56,80,88,124
1,3,54,50,271,294,2.039,1.385,2.747,2.747,2.112,2.747,2.812,3.398,-36,52.0,52.0,20,52,64,92
