Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
3,5,16,10,45,75,1.467,1.467,3.064,3.064,2.326,2.18,2.326,2.864,0,140.0,140.0,88,80,88,120
3,5,16,16,75,111,1.451,1.57,3.211,2.987,2.462,2.537,2.727,3.211,20,144.0,136.0,96,104,112,144
3,5,21,10,81,115,1.944,1.717,3.433,3.422,2.584,2.657,2.93,3.36,-16,152.0,148.0,76,80,108,136
3,5,24,15,87,128,1.671,1.666,3.287,,2.527,2.655,2.781,3.22,-4,168.0,,108,116,124,164
4,1,1,1,19,64,1.429,1.55,3.048,3.139,2.01,2.515,2.515,3.345,20,168.0,172.0,80,136,136,180
4,1,2,2,8,35,1.729,1.729,3.232,3.232,2.564,2.676,2.894,3.232,0,108.0,108.0,64,72,84,108
4,1,2,2,35,63,1.634,1.592,3.468,3.553,2.57,2.756,2.756,3.095,-4,136.0,140.0,76,84,84,112
4,1,2,2,63,110,1.571,1.845,3.479,3.479,2.949,2.949,3.022,3.539,28,184.0,184.0,136,136,140,188
4,1,10,2,7,38,1.535,1.508,2.826,3.072,2.206,2.35,2.583,2.885,4,136.0,160.0,80,88,100,124
4,1,11,1,21,55,1.566,1.669,4.034,3.372,2.451,2.599,2.797,3.24,20,188.0,152.0,84,96,112,136
4,1,11,11,55,89,1.59,1.59,3.437,3.175,2.399,2.403,2.604,2.958,4,168.0,152.0,96,92,104,136
4,1,15,2,35,71,1.598,1.598,3.608,3.631,2.297,2.678,2.772,3.31,0,172.0,180.0,80,112,116,144
4,1,17,11,55,91,1.651,1.685,3.452,3.361,2.372,2.662,2.944,3.103,12,164.0,168.0,84,108,128,144
4,1,18,1,64,96,1.856,1.766,3.104,3.104,2.481,2.695,2.695,3.104,-8,128.0,128.0,76,88,88,128
4,1,18,18,96,131,1.543,1.543,3.458,3.458,2.326,2.716,2.774,3.279,0,156.0,156.0,84,104,108,140
4,1,19,2,63,96,1.523,1.687,,,3.068,2.977,2.977,3.686,24,,,112,108,108,132
4,1,21,11,89,130,1.511,1.688,3.286,3.1,2.523,2.445,2.887,3.356,24,160.0,152.0,120,112,136,164
4,2,3,3,80,99,1.87,1.327,2.899,2.993,2.351,2.476,2.683,3.218,-48,64.0,68.0,32,40,52,76
4,3,1,1,77,120,1.711,1.418,3.034,3.034,2.035,2.54,2.59,3.281,-76,152.0,152.0,48,100,104,172
4,3,2,2,88,109,2.227,1.45,3.171,3.171,2.141,2.572,2.706,3.35,-96,72.0,72.0,-20,24,40,84
