Pos	Channel	Cell	MothCell	BirthFr	DivFr	Td	Tri1	Tri2	Tri3	Trt	Tn	Tc	Lb	Lri1	Lri2	Lri3	Lrt	Ln	Lc	Ld	Time
1	3	18	1	50	87	148	-16	176	176	68	68	76	1,283	1,197	2,796	2,796	1,72	1,72	1,828	2,521	-12
3	2	12	12	54	87	132	-8	104	100	72	84	84	1,185	1,096	2,278	2,249	1,812	1,981	1,981	2,994	-12
3	5	1	1	52	87	140	-12	124	124	76	72	72	1,391	1,279	2,792	2,792	2,117	2,057	2,057	2,907	-12
2	2	1	1	53	88	140	-40	108	104	60	68	64	1,205	0,986	2,294	2,276	1,724	1,785	1,736	2,698	-8
4	2	11	11	51	88	148	-24	112	116	68	72	88	1,441	1,346	2,631	2,68	1,911	1,971	2,38	3,093	-8
5	1	10	10	44	88	176	16	172	172	108	116	128	1,142	1,08	2,616	2,616	1,828	1,917	2,008	2,61	-8
3	2	18	1	54	88	136	-4	104	104	72	72	84	1,218	1,253	2,36	2,36	1,877	1,877	2,086	2,762	-8
7	2	11	11	57	88	124	-8	116	112	60	80	88	1,432	1,33	2,841	2,716	1,959	2,269	2,37	3,067	-8
2	5	31	28	62	89	108	-28	84	68	44	56	68	1,664	1,413	2,729	2,466	2,223	2,303	2,466	3,149	-4
1	3	1	1	50	89	156	-8	160	152	84	96	104	1,143	1,058	2,688	2,64	1,757	1,901	1,982	2,74	-4
3	5	16	1	51	89	152	-16	108	128	88	88	88	1,406	1,166	2,086	2,456	1,998	1,998	1,998	2,772	-4
7	2	17	11	57	89	128	-20	124	128	60	84	88	1,454	1,207	2,694	2,769	1,704	2,128	2,304	2,769	-4
3	4	11	11	65	89	96	-48	76	68	40	56	60	1,612	1,302	2,763	2,728	2,265	2,335	2,293	3,129	-4
8	2	1	1	48	89	164	20	212	220	96	96	108	1,197	1,3	3,276	3,405	1,754	1,754	1,901	2,545	-4
1	3	19	12	58	89	124	-76	52	52	4	60	64	1,755	1,246	2,169	2,169	1,725	2,241	2,262	3,563	-4
1	4	13	10	58	90	128	-32	100	100	56	80	84	1,273	1,116	1,952	1,952	1,676	1,687	1,725	2,345	0
1	5	13	13	62	90	112	-16	116	128	52	60	64	1,452	1,305	2,652	2,762	1,897	2,085	2,149	2,658	0
6	4	2	2	40	90	200	24	168	156	112	140	140	1,172	1,149	2,541	2,314	1,768	2,168	2,168	3,083	0
2	4	18	12	55	90	140	-56	88	88	28	84	84	1,263	0,954	2,284	2,284	1,543	1,874	1,874	3,043	0
10	4	19	2	55	90	140	-32			68	80	96	1,319	1,114			1,258	1,313	1,521	2,465	0
7	1	2	2	52	91	156	-28	112	112	96	100	104	1,339	1,077	2,763	2,763	2,448	2,524	2,633	3,486	4
8	2	14	1	47	92	180	40	184	192	124	136	132	1,076	1,353	2,926	2,977	2,052	2,245	2,203	2,869	8
4	2	13	11	50	92	168	-24	104	108	76	96	104	1,455	1,269	2,378	2,471	1,925	2,063	2,378	3,578	8
3	2	1	1	55	92	148	-16	108	100	56	100	104	1,021	0,994	2,334	2,09	1,579	2,09	2,406	3,013	8
10	3	26	18	65	93	112	-40	96	96	52	60	56	1,517	1,229	2,193	2,193	1,847	1,867	1,901	2,452	12
4	4	16	16	62	93	124	-24	124	124	44	84	76	1,223	1,066	2,466	2,466	1,438	1,785	1,773	2,466	12
4	2	15	1	55	93	152	-40	120	108	84	80	88	1,389	1,111	2,297	2,127	1,985	1,932	1,967	2,75	12
2	1	14	14	48	93	180	-4	176	188	88	108	112	1,249	1,223	2,386	2,502	1,721	1,922	1,944	2,406	12
6	1	14	1	52	95	172	-4	164	168	76	124	128	1,275	1,274	2,852	2,921	1,722	2,373	2,457	3,036	20
1	1	1	1	51	95	176	-24	168	164	68	116	112	1,076	1,109	2,591	2,551	1,432	1,896	1,866	2,767	20
6	3	1	1	62	95	132	-28	152	152	52	84	84	1,215	1,025	2,607	2,607	1,535	1,872	1,872	2,456	20
10	4	1	1	60	95	140	8	160	152	112	96	116	1,006	1,047	2,591	2,5	2,033	1,832	2,043	2,395	20
2	5	1	1	67	95	112	-56	60	64	28	44	56	1,338	0,927	2,025	2,123	1,693	1,83	1,988	2,944	20
4	2	1	1	55	96	164	-28	132	132	84	92	84	1,314	1,053	2,242	2,242	1,847	1,96	1,847	2,7	24
