Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
6,4,2,2,117,176,1.184,1.42,,,1.937,2.013,2.157,2.499,320,,,460,490,530,590
6,4,9,1,13,58,1.275,1.402,3.041,3.101,1.782,1.984,2.041,2.418,110,700.0,720.0,260,330,350,450
6,4,9,9,59,123,1.205,1.327,3.148,,1.88,2.254,2.222,2.541,120,960.0,,400,550,540,640
6,4,9,9,123,193,1.286,1.697,3.342,3.114,2.209,2.366,2.404,2.791,330,1020.0,950.0,540,600,610,700
6,4,13,2,53,115,1.294,1.53,,,2.269,2.255,2.516,2.833,230,,,490,500,540,620
6,4,14,9,59,129,1.278,1.526,3.133,,2.18,2.255,2.237,2.681,240,980.0,,510,570,600,700
7,1,7,2,13,77,1.281,1.642,3.278,3.868,1.979,2.268,2.465,2.707,290,850.0,980.0,390,520,570,640
7,1,7,7,77,123,1.228,1.566,,3.945,1.903,2.015,2.105,2.563,200,,720.0,350,360,390,460
7,1,15,1,105,142,1.639,1.731,3.405,4.395,2.054,2.471,2.389,2.77,80,620.0,800.0,210,300,280,370
7,1,15,15,142,195,1.303,1.737,,,2.154,2.096,2.47,2.771,240,,,380,400,430,530
7,2,1,1,52,107,1.91,2.014,3.817,3.275,2.123,2.468,2.701,3.12,80,790.0,610.0,200,380,450,550
7,2,1,1,106,172,1.619,1.935,,2.902,2.206,2.717,2.548,2.832,240,,820.0,380,570,520,660
7,2,4,4,16,66,1.6,1.843,,,2.233,2.29,2.461,3.089,150,,,310,350,400,500
7,2,11,1,52,105,1.743,1.792,3.289,3.186,2.105,2.281,2.376,2.804,60,730.0,690.0,280,370,400,530
7,2,11,11,106,169,1.398,1.561,2.777,2.828,2.019,2.236,2.318,2.589,170,800.0,830.0,370,480,510,630
7,3,1,1,24,131,1.614,2.332,3.188,3.462,2.528,2.67,2.931,3.203,620,1120.0,1200.0,820,880,960,1070
7,3,1,1,130,167,1.711,1.699,3.789,3.804,2.166,2.296,2.423,2.695,40,690.0,700.0,250,280,310,370
7,3,9,9,68,102,1.991,2.002,4.796,4.159,2.37,2.608,2.708,3.031,20,960.0,740.0,150,210,240,340
7,3,12,9,65,96,1.781,1.859,3.328,3.764,2.105,2.28,2.334,2.831,40,690.0,710.0,150,210,220,310
7,3,17,1,131,178,1.509,1.607,3.319,3.436,1.887,2.254,2.254,2.639,140,830.0,900.0,260,380,380,470
7,3,18,1,167,237,1.261,1.823,,,2.16,2.16,2.16,2.537,330,,,530,610,610,700
7,4,1,1,82,167,1.675,2.168,3.788,3.447,2.39,2.595,2.709,3.07,470,1090.0,990.0,670,720,770,850
7,4,1,1,167,226,1.682,1.96,,,2.455,2.5,2.772,3.006,210,,,400,420,520,590
7,4,17,1,166,209,1.402,1.583,,,1.862,2.171,2.1,2.404,160,,,290,370,350,430
7,5,2,2,52,118,1.422,1.551,4.601,4.696,1.88,2.259,2.454,2.844,140,830.0,840.0,310,470,550,660
7,5,9,9,145,213,1.163,1.443,2.547,2.59,1.729,1.877,2.043,2.387,210,820.0,860.0,400,510,560,680
8,1,1,1,98,164,2.115,2.328,4.044,3.848,2.712,2.839,2.82,3.433,240,870.0,820.0,450,510,500,660
8,1,1,1,164,222,1.802,2.082,,,2.488,2.635,2.679,3.155,210,,,420,470,480,580
8,1,2,2,148,190,1.7,1.833,,,2.064,2.345,2.439,2.579,110,,,250,330,350,420
8,1,3,3,24,91,1.641,1.648,3.822,3.16,2.143,2.253,2.522,2.765,10,1160.0,930.0,340,470,570,670
8,1,5,3,23,106,1.87,1.899,,,2.07,2.17,2.497,2.899,20,,,200,580,660,830
8,1,6,2,26,86,1.462,1.894,3.216,3.192,2.209,2.244,2.378,2.674,290,950.0,940.0,470,480,510,600
8,1,9,1,85,169,1.704,2.109,3.703,3.658,2.451,2.719,2.819,3.26,370,950.0,930.0,570,680,710,840
8,1,9,9,165,232,1.551,1.837,,,2.324,2.531,2.453,2.963,160,,,390,530,490,670
