Lip,Li,Lb,Ld,Td,Tri1
1.236,0.95,1.341,3.146,192,-164
1.199,1.05,1.427,3.069,176,-60
1.269,1.32,1.777,3.418,160,-44
1.258,1.245,1.759,3.683,120,-48
1.199,1.293,1.691,3.446,180,-68
0.975,1.152,1.75,3.416,112,-68
1.28,1.236,1.298,3.36,204,-20
1.148,1.219,1.203,3.631,292,20
1.079,1.254,1.726,3.643,136,-72
1.319,1.071,1.223,2.654,160,-48
1.203,1.217,1.384,2.955,120,-32
1.324,1.23,1.816,3.327,112,-60
1.387,1.428,1.922,3.489,108,-68
1.255,1.124,1.557,3.55,128,-88
1.158,1.323,1.61,2.842,180,-28
1.136,1.149,1.756,3.419,108,-64
1.269,1.258,1.614,3.876,172,-44
0.898,0.986,1.548,2.578,120,-76
1.141,1.334,1.651,3.352,144,-52
1.236,1.049,1.662,3.619,208,-160
1.28,1.299,1.333,3.088,216,-8
1.333,1.243,1.547,4.009,164,-32
1.158,1.107,1.293,2.763,188,-28
1.333,1.337,1.641,3.916,160,-48
1.35,1.303,1.476,2.917,160,-32
1.257,0.992,1.544,3.344,168,-84
1.023,0.881,1.562,3.355,112,-92
1.141,1.055,1.417,3.172,152,-48
1.312,1.329,1.434,3.128,176,-16
1.145,1.205,1.268,3.772,296,16
0.966,1.05,1.401,2.914,148,-64
1.118,1.157,1.521,4.152,164,-80
1.279,1.084,1.075,3.464,308,20
1.037,1.094,1.801,3.602,136,-104
1.324,1.087,1.654,3.704,128,-72
1.167,1.148,1.345,3.205,212,-40
1.245,1.089,1.556,3.237,132,-84
1.228,1.365,1.828,3.967,176,-48
1.032,0.995,1.299,3.562,292,-32
1.029,1.049,1.379,3.533,212,-60
1.257,1.128,1.788,3.318,172,-84
1.023,1.095,1.792,3.3,120,-96
1.292,1.411,1.526,3.176,168,-12
0.966,1.134,1.631,2.981,160,-68
1.079,1.144,1.696,3.74,156,-88
1.136,1.297,1.757,3.567,132,-68
1.102,1.224,1.195,2.803,304,16
1.505,1.544,1.753,3.464,164,-28
1.176,1.178,1.462,3.262,188,-52
0.898,1.182,1.635,2.826,144,-76
1.113,1.066,1.322,3.936,268,-84
1.176,1.367,1.577,3.277,144,-40
